numero_regard,secteur,type,nom_piste,latitude,longitude
112,1275,lance,DRAYE,46.200222155921615,6.787917370053818
111,1275,lance,DRAYE,46.199563221526695,6.787660838628758
14,1275,lance,PISTE 14,46.1959264362968,6.774089259943729
17,1280,lance,PISTE 17,46.196017399456714,6.777762320600778
12,1280,lance,PISTE 12,46.1950207837005,6.77481903231747
84,1285,lance,PISTE 84,46.19594994942361,6.773419317036549
232,1285,lance,DEGAZEUR,46.184309491883106,6.757428091622488
18,1290,lance,PISTE 18,46.19628727932272,6.778636324390192
240,1290,lance,SECTEUR 240,46.188389036156906,6.753673972496448
63,1295,lance,SECTEUR 63,46.195855727814596,6.77153263965261
22,1295,lance,PISTE 22,46.1980392151449,6.78033778110408
57,1300,lance,SECTEUR 57,46.19446291673281,6.773201763148961
301,1300,autonome,SECTEUR 301,46.185256553645196,6.76958806284043
306,1305,lance,SECTEUR 306,46.18221554987761,6.768526454372002
6,1305,lance,PISTE 6,46.1966454738176,6.77297116593708
21,1310,lance,PISTE 21,46.197285445722706,6.78042754219482
61,1310,lance,SECTEUR 61,46.195306177398805,6.772355123392281
60,1315,lance,SECTEUR 60,46.1954140921711,6.772797577701758
11,1315,tour,PISTE 11,46.1944649002521,6.775931696888698
236,1320,tour,SECTEUR 236,46.186400603722504,6.755942905862389
